method,parameter,true_value,estimate,relative_error_percent,residual_norm,condition_number
load_curve_only,matrix_base,18.0,28.381152658578106,57.67307032543392,0.012531780370617291,39202.50036990412
load_curve_only,matrix_density_gain,24.0,1.0167079468591402e-06,-99.99999576371688,0.012531780370617291,39202.50036990412
load_curve_only,fiber_scale,155.0,232.02462312853828,49.693305244218244,0.012531780370617291,39202.50036990412
load_curve_only,connectivity_scale,70.0,1.1146323150863674e-05,-99.99998407668122,0.012531780370617291,39202.50036990412
virtual_fields,matrix_base,18.0,16.657649246610248,-7.457504185498623,0.020352070798437438,6657.329976976289
virtual_fields,matrix_density_gain,24.0,26.583197161374592,10.763321505727466,0.020352070798437438,6657.329976976289
virtual_fields,fiber_scale,155.0,235.82530271905392,52.145356592938015,0.020352070798437438,6657.329976976289
virtual_fields,connectivity_scale,70.0,1.5460695874588981e-12,-99.9999999999978,0.020352070798437438,6657.329976976289
joint_global_plus_vfm,matrix_base,18.0,16.683198290629687,-7.315565052057297,0.019693456125599362,7209.681074503823
joint_global_plus_vfm,matrix_density_gain,24.0,26.549859198122444,10.624413325510185,0.019693456125599362,7209.681074503823
joint_global_plus_vfm,fiber_scale,155.0,235.2062252101601,51.74595174849039,0.019693456125599362,7209.681074503823
joint_global_plus_vfm,connectivity_scale,70.0,2.7934187796013407e-09,-99.99999999600941,0.019693456125599362,7209.681074503823
inverse_fe_like,matrix_base,18.0,11.41704897034908,-36.571950164727326,0.013539686249711125,39202.50036990412
inverse_fe_like,matrix_density_gain,24.0,39.328391825026834,63.86829927094514,0.013539686249711125,39202.50036990412
inverse_fe_like,fiber_scale,155.0,162.41772226631028,4.785627268587276,0.013539686249711125,39202.50036990412
inverse_fe_like,connectivity_scale,70.0,61.031205913357724,-12.812562980917537,0.013539686249711125,39202.50036990412
