nx,ny,mean_hill_mandel_error,max_hill_mandel_error,max_reduced_residual_norm,fiber_volume_fraction,pore_fraction,mean_connectivity,periodic_C11,periodic_C22,periodic_C12,periodic_C66,periodic_C16,periodic_C26,periodic_min_eigenvalue,periodic_condition_number,periodic_E_min,periodic_E_max,periodic_anisotropy_ratio,periodic_angle_E_max_deg,C_C11,C_C22,C_C12,C_C66,C_C16,C_C26,C_min_eigenvalue,C_condition_number,C_E_min,C_E_max,C_anisotropy_ratio,C_angle_E_max_deg
6.0,6.0,3.3680275830709886e-15,6.2355996473185204e-15,4.1795809641155725e-13,0.14798693036605481,0.6944444444444444,0.3544066115577383,59.72303168315766,56.54867607656306,21.971479243789105,20.51088903563671,4.613097266541088,3.613416228803966,19.929674540018404,4.050780749696278,46.72591066637715,61.80793123425072,1.3227763857950066,39.0,59.72303168315766,56.54867607656306,21.971479243789105,20.51088903563671,4.613097266541088,3.613416228803966,19.929674540018404,4.050780749696278,46.72591066637715,61.80793123425072,1.3227763857950066,39.0
8.0,8.0,3.2968211473069255e-15,5.425965626170551e-15,4.717634970767486e-13,0.1451129905311632,0.671875,0.35564049208788573,62.12647436383621,55.847845245293904,22.64356224688055,20.952369689418987,5.864509941368787,3.6945977454246437,20.121509169416907,4.105477095893936,46.47610352733343,64.90622470881883,1.3965504804129354,36.0,62.12647436383621,55.847845245293904,22.64356224688055,20.952369689418987,5.864509941368787,3.6945977454246437,20.121509169416907,4.105477095893936,46.47610352733343,64.90622470881883,1.3965504804129354,36.0
10.0,10.0,1.19234606181663e-14,2.0677146456865435e-14,8.582232424034149e-13,0.2760545219431511,0.54,0.3863992010349987,62.820032372706265,58.982415827167124,23.822933639907724,21.992751844896517,6.476850915558337,4.942750438556645,20.92666876564047,4.101573195427466,47.207168275244975,68.37411106608812,1.4483840815748084,40.0,62.820032372706265,58.982415827167124,23.822933639907724,21.992751844896517,6.476850915558337,4.942750438556645,20.92666876564047,4.101573195427466,47.207168275244975,68.37411106608812,1.4483840815748084,40.0
12.0,12.0,1.4192043993951362e-14,2.3384276181768305e-14,9.759320363496212e-13,0.23796557655151357,0.5486111111111112,0.3791184251569131,62.780931773310954,57.68519374689007,23.12596827660109,21.421771827232313,6.023807116804701,4.266565725613561,20.524666314540326,4.109872454509981,47.09747849308655,66.35234954542518,1.4088301893946418,38.0,62.780931773310954,57.68519374689007,23.12596827660109,21.421771827232313,6.023807116804701,4.266565725613561,20.524666314540326,4.109872454509981,47.09747849308655,66.35234954542518,1.4088301893946418,38.0
14.0,14.0,8.664436723604142e-15,1.3049764938932236e-14,9.075973660329205e-13,0.2282921035157019,0.5051020408163265,0.3759690731149123,64.5294848662326,58.260108961433076,23.62872674763441,21.82963847649286,6.310692749908119,4.580714039245713,20.86239489180719,4.130298670400179,47.657102864409865,68.05636336036874,1.4280423959886357,37.0,64.5294848662326,58.260108961433076,23.62872674763441,21.82963847649286,6.310692749908119,4.580714039245713,20.86239489180719,4.130298670400179,47.657102864409865,68.05636336036874,1.4280423959886357,37.0
