case,macro_exx,macro_eyy,macro_gxy,avg_sxx,avg_syy,avg_sxy,hill_mandel_error,reduced_residual_norm
exx,1.0,0.0,0.0,64.5294848662326,23.628726747634417,6.310692749908125,2.2022265859800643e-15,4.222205559405831e-13
eyy,0.0,1.0,0.0,23.628726747634406,58.260108961433076,4.5807140392457075,1.3049764938932236e-14,9.075973660329205e-13
gxy,0.0,0.0,1.0,6.310692749908113,4.580714039245719,21.82963847649286,1.0741318645900125e-14,5.178336171257473e-13
