method,C11,C22,C12,C66,C16,C26,min_eigenvalue,condition_number,E_min,E_max,anisotropy_ratio,angle_E_max_deg
Voigt,67.03088477240465,61.630337124479944,25.032074587130808,23.703779449580427,7.821111443340459,6.7723615697317125,22.114060414935242,4.119354328021786,48.16425455064791,75.1228220433917,1.5597214727863182,41.0
Periodic,64.5294848662326,58.260108961433076,23.62872674763441,21.82963847649286,6.310692749908119,4.580714039245713,20.86239489180719,4.130298670400179,47.657102864409865,68.05636336036874,1.4280423959886357,37.0
Reuss,62.64292256316561,57.355316921774644,22.94277489550746,21.251807155647924,5.525734932244857,4.05675000428528,20.482394050060684,4.093170355257514,47.30578392736366,65.26835085648591,1.3797118541932023,38.0
