parameter,baseline,lower_value,upper_value,range,signed_change_low,signed_change_high
matrix_modulus,4.6878158015844535,3.3484398582746104,6.473650392664246,3.1252105343896357,-1.339375943309843,1.7858345910797926
fibre_gain,4.6878158015844535,3.754713276007344,6.036791033405058,2.2820777573977145,-0.9331025255771097,1.3489752318206047
fibre_fraction,4.6878158015844535,3.4396568452302865,6.033554869635,2.5938980244047136,-1.248158956354167,1.3457390680505465
orientation_deg,4.6878158015844535,5.4393987620912805,3.14248726845718,2.2969114936341004,0.7515829605068269,-1.5453285331272735
concentration,4.6878158015844535,3.5922857964097985,5.123528679003036,1.5312428825932378,-1.095530005174655,0.4357128774185828
connectivity,4.6878158015844535,3.5633021552280995,5.419277418884399,1.8559752636562998,-1.124513646356354,0.7314616172999457
load_scale,4.6878158015844535,3.375227377140807,6.000404226028102,2.625176848887295,-1.3125884244436468,1.312588424443648
boundary_compliance,4.6878158015844535,4.890930299212345,4.338391032651317,0.5525392665610278,0.20311449762789113,-0.3494247689331367
