output,parameter,mu,mu_star,sigma
peak_stress,matrix_modulus,3.039935349478619,3.039935349478619,1.522419624903758
peak_stress,fibre_gain,2.0202422781072285,2.0202422781072285,1.358379882170026
peak_stress,fibre_fraction,2.7172306552144656,2.7172306552144656,2.4557630030556195
peak_stress,orientation_deg,-4.754597482481018,4.754597482481018,4.1941959615778055
peak_stress,concentration,1.435707631265012,1.435707631265012,1.3990593811989829
peak_stress,connectivity,2.422510900128923,2.422510900128923,1.8456681957383658
peak_stress,load_scale,2.8437678387705834,2.8437678387705834,1.5796117075064073
peak_stress,boundary_compliance,-0.6667244130837819,0.6667244130837819,0.4026727201680446
