scenario,initial_mean_trace_stress,final_mean_trace_stress,initial_mean_fiber_stress,final_mean_fiber_stress,final_mean_isotropic_growth,final_mean_fiber_growth,final_mean_energy_density,final_residual_norm
frozen_growth,8.593948598e-15,8.593948598e-15,-0.01623309696,-0.01623309696,0.00455063705,0.009062417566,0.0005174297196,1.12842918e-14
stress_feedback,8.593948598e-15,8.82010514e-15,-0.01623309696,-0.01486873238,0.004810194231,0.00940768866,0.0004454257752,1.169817532e-14
fiber_only_feedback,8.593948598e-15,8.815993203e-15,-0.01623309696,-0.0152532974,0.00455063705,0.009487063676,0.0004683207964,1.261784447e-14
