target_concentration,modality,resultant_length,kappa,js_to_ground_truth,orientation_mae_deg
0.35,ground_truth,0.6010889909185065,1.5134483499953368,0.0,0.0
0.35,sem_like_gradient,0.8000009828971305,2.8620119324230915,0.1471641982060477,20.740941792275414
0.35,polarization_like_map,0.48752308606864897,1.1138706882687006,0.06511801232600667,10.43912397299346
0.35,segmented_mask,0.3503665736742942,0.7481427956975502,0.15898674465785906,34.88327456762906
0.55,ground_truth,0.6108253132858127,1.5539494688878739,0.0,0.0
0.55,sem_like_gradient,0.8143857557371105,3.048628750458094,0.15807224764204458,20.462705591337894
0.55,polarization_like_map,0.5090644015026401,1.1785404343981525,0.06125906562600109,9.74688086529794
0.55,segmented_mask,0.3398849050252963,0.7228137897293603,0.16986507768899556,34.6347269008518
0.75,ground_truth,0.6256030375517039,1.6181018137284304,0.0,0.0
0.75,sem_like_gradient,0.8236525569050455,3.1832452688753934,0.16402492786687745,21.302846175364014
0.75,polarization_like_map,0.5254687480528006,1.2294137041498825,0.0600627951063476,9.41884227852145
0.75,segmented_mask,0.2850952629076136,0.5949323986518129,0.14734410237467493,34.127235440759755
0.9,ground_truth,0.6532637664035671,1.7481723878871098,0.0,0.0
0.9,sem_like_gradient,0.8228130097279006,3.170524825053681,0.1712869086854461,21.001738863112728
0.9,polarization_like_map,0.5599459612734308,1.355477604150652,0.05913734085699396,9.152153407579178
0.9,segmented_mask,0.3346294950306567,0.7102263140254211,0.16314975412297844,33.208411687225656
