lambda_pde,u_mae,strain_mae,pde_residual_rms,traction_error
0.0001,0.0010055205499247923,0.00691556184244602,0.09091156873066288,1.0882790122457298e-05
0.000630957344480193,0.0008748167413485748,0.007379937856369125,0.08746635128220165,8.581710353589012e-06
0.003981071705534973,0.001694391724769134,0.007891969182794983,0.08465920944269097,0.00014169109515910217
0.025118864315095822,0.004740160851794642,0.010223781727139804,0.08197263624091411,0.0021332680125213666
0.1584893192461114,0.009975551369014648,0.021533353777870006,0.07543581826150186,0.015644903540395105
1.0,0.026485612565823703,0.06122155513565885,0.05073974729949287,0.06924256621779398
6.309573444801943,0.04911406193984514,0.11576734099508393,0.016591683035488542,0.14361223257904293
39.81071705534978,0.05805531066538912,0.13731996283776488,0.003180159607266827,0.17300188513959697
251.18864315095823,0.05983586284319263,0.14161121753256753,0.0005225402818111126,0.1788494620471467
1584.893192461114,0.06013042436045958,0.1423210608343313,8.332789846920254e-05,0.1798165147829085
10000.0,0.06017744819601443,0.14243437714001775,1.3219766313774723e-05,0.17997088535193984
